title,likes,comm,uid,udate
모어 ,10,직관적인 아름다움과 수평적인 감동이 있어 피로감이 없는 영화. 자극적인 소재라 생각하고 꺼내들었다가 마치 탄탄한 고전을 본듯한 빈틈도 없지만 강요도 없는 꽉채워진 철학과 감동. 리프레쉬와 영감을 찾고 있다면 꼭 보시길! 신고,haya****,22.08.23
외계+인 1부 ,8,연출만 조금더...아주 쬐끔만더...잘 했더라면..배우들이야 뭐 전부 자기들몪은 했는데 감독이 너무 자기몪을 못했네..그래도 배우들봐서 평점8...이상! 신고,khsk****,22.08.23
놉 ,9,일단 뻔한 한국영화들사이에서 창의적이고 세련된연출이 돋보임^^조던필 오래오래 영화해주세요 신고,hayo****,22.08.23
탑건: 매버릭 ,10,그냥 진짜 무조건 보세요 신고,han0****,22.08.23
풀타임 ,7,"프랑스 교통파업시기, 싱글맘의 간사한 이직 성공담 신고",real****,22.08.23
헌트 ,8,나쁘지않게 봤음 신고,tkdd****,22.08.23
살롱 키티 ,8,게르만 나치의 힘과 야성을 혐오와 매혹이 뒤섞인 시선으로 관찰하는 이탈리아 영화. 신고,pont****,22.08.23
헌트 ,10,진짜 말이 필요없다!! 역사의 흐름 신고,revi****,22.08.23
아수라 ,10,신고,dkak****,22.08.23
리얼 ,10,음식을 시켰는데 주방장이 식재료를 다먹고 똥을 내놓는 격… 신고,skin****,22.08.23
한산: 용의 출현 ,10,개인적으로 오늘 내 최고의영화가 됐음연기 영상 연출 어느것하나 빠짐없이너무 감동적이고 최고입니다 신고,xxxx****,22.08.23
모어 ,10,신고,leej****,22.08.23
헤어질 결심 ,8,한 사람의 결심이 어떤 비극까지 불러올 수 있는지 보여준다 신고,swor****,22.08.23
달링스 ,8,"재미는 있으나, 답답해서 속이 터짐.가정폭력을 일반적으로 받아들이는 인도를 제대로 풍자한 영화. ptsd 주의 신고",sin0****,22.08.23
모어 ,10,모어님의 아름다움을 잠깐이라도 엿볼 수 있어 감사했습니다. 반짝반짝 빛이나는 영화 신고,qufs****,22.08.23
해리 포터와 혼혈 왕자 ,10,평점 낮추지마... 세상에서 제일 재미있게 본 영화는 해리포터다 신고,hyej****,22.08.23
쿼바디스 ,10,대작의 감동을 느꼈다. 신고,11ha****,22.08.23
엘비스 ,10,오스틴 버틀러의 엘비스 프레슬리는 신들린 수준 신고,swor****,22.08.23
전설의 땁 ,1,0점이 없다는게 아쉬울 뿐...감상포인트라.. 후~ 숨은포인트 찾기 신고,sehy****,22.08.23
놉 ,8,너는 우수겟 거리가 아닐지니 당당히 말하라. 놉! 신고,kyun****,22.08.23
헌트 ,10,이게 이정재의 감독 입봉작이라는게 충격.제발 또 영화 찍어주세요. 신고,momo****,22.08.23
베를린 ,10,솔직히 지금다시 봐도 개명작이다 신고,wcww****,22.08.23
먹고 기도하고 사랑하라 ,1,돈많고 나이 많은 관종 애정결핍인 여자가 자기의 모든관계가 망가지는 이유를 무조건 상대방의 잘 못으로 몰아가 남자들한테 상처주고 자기만 피해자인척 치유하겠다며 전세계를 다니며 돈 펑펑쓰고 여러 젊은 남자들을 만나고 결국 나이는 많지만 돈많고 시간 많은 한남자에게 관심을 독차지로 받으며 행복해하는 삶을 그린영화. 솔직히 저여자가 외모와 돈이 저정도가 아니었다면 아무 남자도 곁에 오지 않았을 것 같을 정도로 정신이 이상하다. 한가지 확신 할 수 있는건 이 여자의 인생대로 살면 불행은 금방 다시 찾아올 확률이 99%고 또 이런 여자랑 결혼한 상대 남자가 상처 받을 확률도 99%라는 것이다. 아마 저 여자는 마지막으로 만난 남자하고도 오래 못 살고 또 상처주고 떠날꺼다. 왜냐하면 사람은 쉽게 변하지 않고 애정결핍이 있는 사람은 자신의 행복을 상대방의 관심에 의존해 찾기 때문이다. 오래된 관계일수록 관심의 영역은 떨어질수 밖에 없는데 여자 주인공은 다른 더 좋아진 부분은 보지도 않고 관심의 영역이 떨어진걸로만 가지고 판단하여 자기는 현재 사랑받고 있지 않고 그래서 불행하다라는 결론을 내고 무조건 남자 잘못으로 이 관계가 끝난거로 몰아가며 상대방에게 상처를 주고 떠날 것이기 때문이다. 결론 - 결혼 할 상대방이 관종에 애정결핍이 있는지 없는지 확인하고 결혼해야 인생이 안정감있고 행복 할 수 있다는 것을 교훈으로 준다. 신고,rhdm****,22.08.23
한산: 용의 출현 ,8,대한민국에서 합법적 국뽕은 이순신 장군님뿐이다.. 신고,swor****,22.08.23
모어 ,10,너무 아름다워서 말을 잇지 못합니다. 하염없이 아름다운 영화. 신고,happ****,22.08.23
놉 ,6,남주 연기 징그럽게 못함 겟아웃때부터의 과도한 표정질은 못봐주겠다 매번 느끼는데 감독은 흑인 우월주의자인듯 신고,obth****,22.08.23
비욘드 라이브 더 무비 : 엑소의 사다리 타고 세계여행3 ,10,신고,chkn****,22.08.23
외계+인 1부 ,2,2부는 안나올듯..1부만해도 제작사 손실 어마어마할텐데 신고,tele****,22.08.23
모어 ,10,"당신의 인생에, 하염없이 모어 앤 모어! 신고",luxo****,22.08.23
왓치맨 ,10,"일단은 인지도가 큰 배우들이 많이 출연하진 않지만 그래도 연기를 좀 하는 배우들이 많이 나와서 괜찮았고, OST는 뭐 진짜 이루 말할수 없이 좋았다.. 스캇 맥킨지, 지미핸드릭스, 제니스 조플린, 사이먼 앤 가펑클, 밥 딜런, 냇킹콜,네나등 장면 마다 너무 잘 녹아들어 영화랑 너무 잘 어울렸던것 같다.각 케릭터 하나하나 성장과정과 탄생과정을 순서대로 보여주어 괜찮았고, 그런 과정속에서 각 케릭터간에 관계라던지 인물 관계를 알기 쉽게 풀어 나간다...시대적 배경 또한 너무 잘 표현 했는데 전쟁 중에 주연인 '코메디언'이 배트남 여자를 임신 시킨것도 그렇고...그여자를 죽이는것도...닥터 맨해튼의 인간적인 감성이 결여된 점 등을 한큐에 보여준다.이영화는 좀 잔인한 편이다. 사람이 터지고 도끼로 머리를 내려치며, 팔이 뿌러지고 짤리는 장면이 그대로 나온다.영화관에 갔을때 3명이 갔는데 한명은 중간에 도저히 못 보겠다며 나갔다. 단순하게 그냥 킬링타임용으로 볼수 있는 영화가 아니며, SF를 어느정도 좋아하고, 호러도 좀 볼수 있으며, 영화 한번으로 모든 내용을 이해하기엔 너무 많은 내용을 포함하고 있기에 영화에 대해 많은 생각을 할 수 있는 사람이 보면 좋은 영화이다...단순히 극장에 상영하는 영화중 아무거나 골라서 보는 영화중 이영화는 절대 포함시켜서 볼순 없는 그런 영화라는건 알고 봐야 하는 영화임...잭스나이더 감독 영화임...전쟁, 살인, SF, 호러, 약간의 멜로? 신고",jean****,22.08.23
뽀로로 극장판 드래곤캐슬 대모험 ,10,아이들이 넘 좋아합니다. 뽀로로의 인기는 언제까지인가...ㅎㅎㅎ 신고,funn****,22.08.23
한산: 용의 출현 ,10,굿 신고,yoox****,22.08.23
탑건: 매버릭 ,10,탐 형 정말 감사합니다! 조만간 미션임파서블에서 다시 뵈요!ㅋ 신고,hdk3****,22.08.23
