title,likes,comm,uid,udate
탑건: 매버릭 ,10,그냥 일단 재밌다!!! 오락영화의 만족도가 최상임!!! 신고,hyac****,22.08.22
헌트 ,10,워낙 믿고보는 배우들이니 연기야 말할 것은 없습니다. 스토리도 재미있어요.영화 끝나고 내용을 되짚어 보시면 좀 더 재미있게 즐기실 수 있습니다! 신고,qhtj****,22.08.22
빅쇼트 ,2,감동도 없는 뻔한이야기 신고,nyli****,22.08.22
풀 스피드 ,10,아 진째 간만에 개웃긴영화 ㅋㅋㅋ 개그코드가 쩐다 ㅋㅋㅋ 신고,wejh****,22.08.22
체리마호: 30살까지 동정이면 마법사가 될 수 있대 ,2,80년대 영화인가 한숨만 가득한 두 시간 신고,sue1****,22.08.22
W의 비극 ,10,강수연과 김영애의 연기력이 돋보였던 작품 신고,ahah****,22.08.22
불량 공주 모모코 ,9,이렇게 거친 여자들이 나오는 영화가 있다니 너무 좋다. 전혀 다른 두 여자의 우정이 멋지다. 전범기를 제외하곤 정말 맘에 드는 영화. 신고,tige****,22.08.22
토르: 러브 앤 썬더 ,8,"가벼운 토르가 아쉬울순 있지만, 그래도 여전히 매력적인 토르와 그의 영화! 신고",hyac****,22.08.22
담보 ,10,감동 그자체 배우들의 연기 최고입니다 신고,drop****,22.08.22
카터 ,2,주원님... 작품 보시고 골르세요ㅠㅠ 신고,tot9****,22.08.22
비상선언 ,8,아니 네이버평이 왜이러죠?재난=신파?아닌가?마지막에 무리수가 있지만 연기 구멍 없고 잼나게 봤습니다!남는건 이병헌과 사무장님? 신고,j780****,22.08.22
비상선언 ,10,"잔잔하지만, 정말 잘 봤습니다! 신고",hyun****,22.08.22
돌이킬 수 없는 ,1,무고한 피해자만 당하고 범인은 안당하고 통쾌함도 없다 신고,kjw9****,22.08.22
놉 ,2,존나 OO 진짜 와 역대급 신고,llka****,22.08.22
보헤미안 랩소디 ,10,최고다. 이런게 영화지 신고,frnh****,22.08.22
담보 ,10,너무 감동적이고 재밌어요! 신고,ch93****,22.08.22
월-E ,10,너무감동적인영화입니다. 신고,fina****,22.08.22
탑건: 매버릭 ,10,"영화의 본질이 무엇인가, 영화라는 매체는 무엇인가, 넷플릭스가 있음에도 왜 영화관에서 가슴 졸이며 영화를 봐야하는지, 의도치 않게 가장 완벽히 설명하는 영화. 오늘 봤는데, 다시보고 싶다. 신고",jwei****,22.08.22
"굿 럭 투 유, 리오 그랜드 ",7,좀 별로인 부분도 있었지만 나오는 노래도 좋고 전체적으로는 재밌게 봤어요 무엇보다 엠마톰슨 연기가 다한듯 신고,oeui****,22.08.22
놉 ,6,걍 고질라본다~생각하면 편한 영화 신고,wndr****,22.08.22
담보 ,4,스토리 개연성 없고 너무 유치한 신파...한국은 억지신파 들어가면 9점 이상 신고,llll****,22.08.22
코쿤 ,10,노인은 죽지 않는다. 다만 서 있을 뿐이다 신고,seun****,22.08.22
미나리 ,1,평론가 거품이 있는 영화네요 신고,john****,22.08.22
외계+인 1부 ,7,오락영화로써의 역할은 다했다!!!아쉬운점과 즐길거리가 분명한 영화! 신고,hyac****,22.08.22
헌트 ,10,넘넘 재밌게봤어요! 남편한테도 강추했어요 신고,kafk****,22.08.22
두 인생을 살아봐 ,8,"혼전임신으로 결혼해서 두 아이를 키우는 입장에서 많은 생각이 들게 하네요. 그 당시 워홀 비자를 받고 비행기 티켓도 예약했지만, 아이를 임신해서 못가게 되었죠. 지금은 그때의 남자친구와 벌써 8년째 행복한 가정을 꾸리고 있어요. 만약 그때 아기천사가 찾아오지 않았다면 난 뭘하고 있었을까요? 새로운 땅, 새로운 일, 새로운 사람들을 만났겠지만 역시 지금처럼 행복하게 나답게 지내고 있었겠죠. 다른 way의 나를 상상해보게 만드는 영화예요. 잘 봤습니다. 신고",dlsc****,22.08.22
탑건: 매버릭 ,10,신고,gkst****,22.08.22
에이 아이 ,10,신고,bast****,22.08.22
탑건: 매버릭 ,10,진짜 이런게 영화지 3만원줘도 아깝지않은영화다 신고,12ch****,22.08.22
헌트 ,2,약 두시간동안 한국어 듣기평가했다 신고,winl****,22.08.22
헌트 ,2,한국 군을 최대한 악마화 시킨 전형전익 좌파선동 영화 신고,jora****,22.08.22
우리들 ,10,"연기가 아니고, 다큐멘터리로 보일만큼 연기를 너무 잘했어요. 어쩜 제일 연기같았던 것이 선 동생이였는데, 대사가 긴부분이였는데..심지어 어린 제 아들이 긴말할때 그런식으로말하기도 해서.. 전혀 어색하지않음. 내용넘좋고. 오픈엔딩도.답답한 부분도 있는데, 캐릭터의 답답함인거라...어릴때 생각도 났네요. 신고",jiin****,22.08.22
범죄도시2 ,6,1보다 못한 슥편 ? 진짜 별로였음 신고,gon0****,22.08.22
아수라 ,10,"이재명 대표님의 민주당 당대표 당선을 축하하며, 아수라를 다시 찾아봅니다! 신고",salm****,22.08.22
미니언즈2 ,1,돈아까웠음중국영화보는줄 신고,arum****,22.08.22
탑건: 매버릭 ,10,18번 관람. 진심으로 사랑했다. 매드맥스 38번 대한민국 마지막 상영회차 보고 나오는데. 애인 군대보내는 느낌. 신고,cc14****,22.08.22
그레이 맨 ,6,액션의 향현....딱 거기까지만! 신고,hyac****,22.08.22
비상선언 ,4,고급식재료가지고 비빔밥 만들었네요. 신고,haks****,22.08.22
헌트 ,10,첫작이라기엔 너무 재미있었습니다. 다음 영화가 기다려집니다 신고,mydo****,22.08.22
비상선언 ,6,10점짜리 영화가 될수있었는데 후반부 비행기처럼 곤두박질친다! 휴대폰영상통화씬은 실소가 나온다... 신고,hyac****,22.08.22
헌트 ,10,오랜만에 재밌는 영화봤네용 신고,gona****,22.08.22
비상선언 ,10,평점 낮아 미루고 안보다 내일즘 마감임박이길래 봤는데 재밌어요. 이영화보고나서 누낀게 평점앙바들이 진짜 있다는걸 느낌ㅋ 그리고 중간에 커플 영화볼땐 잡담금지요. 가끔 꼭 볼때마다 비매너인간님들이 있어유~* 님들도 매너 관람 바래요^^* 신고,luck****,22.08.22
헌트 ,10,존잘러들 때문에 지루할틈이없음 신고,qkr0****,22.08.22
이상한 나라의 수학자 ,10,각 나라의 수학의 중요성을 알려주는 인생영화 신고,petr****,22.08.22
마녀(魔女) Part2. The Other One ,1,오글거려서 못보겠음 대사의 반이상이 욕임 수준낮은 영화 신고,er58****,22.08.22
놉 ,9,인간의 물질만능주의 그저 소모하고 겉만 바라보고 탐욕의 대상으로만 바라보는 인간의 관음을 잘 표현한 작품 신고,qkrr****,22.08.22
헌트 ,10,아직도 가슴이 두근두근! 하네요감독 데뷔작이라는게 믿겨지지 않아요 우어.. 완전 대박입니다스토리도 탄탄하고! 어느 한 포인트 집중되지 않는 장면이 없고 조연 한사람조차 몰입안되는 사람이 없었습니다ㅠㅠ왜 제가 자랑스럽죠?? 이정재 감독님 멋져요!!!! 신고,cjra****,22.08.22
한산: 용의 출현 ,7,이정도 국뽕은 양반이다!! 재밌고 통쾌하다! 신고,hyac****,22.08.22
공공의 적 ,10,20년 지나고봐도 재밌네 신고,pjy9****,22.08.22
헌트 ,6,최근 개봉한 한국영화들 중에서는 가장 볼만함.발음이 알아듣기 힘든 부분이 쫌 있음 신고,leej****,22.08.22
스틸워터 ,9,버지니와 마야와 빌이 행복했으면 하였지만.. 엘리슨이라는 미운오리새끼를 결국 택하고 빌은 이전과는 다르게 살것같아 여운이 크다 신고,usom****,22.08.22
그 놈은 멋있었다 ,10,내가 04년인데 04영화 보고있음 ..ㅋㅋ진짜 개재밌어 .... 츤데레 정석 ㅜㅜ 신고,love****,22.08.22
헌트 ,10,주연배우들의 이름값하는 영화.이두사람의 값어치를 증명했던것같다.비쥬얼의 영화가아닌. 영화다운영화였자 신고,goas****,22.08.22
한산: 용의 출현 ,6,조조로 보세요.. 남친이 졸리다고 징징거리는데 40분 푹자고 일어나서 전투시작 할때쯤 부터 집중함. 탁월한 선택:) 1시간 후부터가 액기스.... 신고,hsi3****,22.08.22
놉 ,6,초반엔 지루했으나 중반 이후부턴 괜찮았습니다. 신고,caff****,22.08.22
헌트 ,10,승자없는 전투를 위한 싸움 최고의 반전은 감독이 이정재 신고,dmlg****,22.08.22
헌트 ,10,이정재님!! 당신을 몰라봐서 죄송함다..오늘부터 존경합니다!!!분단한국의 슬픈 현대사의 굵직한 사건을 가져다 명작을 만들었다.아뉘... 이정재는 왜 이제야 시나리오를 쓰고 감독을 한것임???이정재 감독의 다음작품 너무 기대 됩니다. 신고,dain****,22.08.22
헤어질 결심 ,10,먹먹한 가슴이 한참 일렁였습니다. 진실은 중요하지 않았습니다. 보는 내내 탕웨이님 매력적인 연기에 빠졌습니다. 신고,samr****,22.08.22
글래디에이터 ,10,내 이름은 막시무스...북부군 총사령관이자 펠릭의 장군이었으며아우렐리우스 황제의 충복이었다.태워죽인 아들의 아버지이자 능욕당한 아내의 남편이다.반드시 복수하겠다 살아서 신고,seun****,22.08.22
헌트 ,8,이정재 정우성 두분의 연기가 좋았습니다. 신고,caff****,22.08.22
놉 ,10,재밌었어요. 해석은 어려운면이 있으나 영화자체는 매우 재밋게 봤어요 신고,esse****,22.08.22
라이프 오브 파이 ,10,신고,mary****,22.08.22
헌트 ,9,이정재감독의 고민이들어간 스토리와 스릴이 적절히 배합되어 즐거움을 선사한다 신고,hyac****,22.08.22
카터 ,10,신고,mins****,22.08.22
놉 ,10,마지막 장면 ㄹㅈㄷ 와..기억 삭제하고 다시 보고싶은 영화 신고,bria****,22.08.22
마녀(魔女) Part2. The Other One ,10,마녀1보다 재밌었음 별점이 왜 낮은지 하나도 이해가 안됨! 신고,actc****,22.08.22
놉 ,8,많은 은유와 함축의 결정체!다만 영화 그자체로도 즐길수있었다면 더 완벽했을것! 신고,hyac****,22.08.22
한산: 용의 출현 ,10,꼭 봐야하는 영화~가슴이 뜨거워지는 영화 신고,hoci****,22.08.22
헌트 ,8,아무기대없이 봤는데 재미있었네요시대극을 좋아하지않는 않는데도 추천하고픈영화잘봤네요 신고,rui6****,22.08.22
놉 ,8,"놉. 코스믹 호러에 약간의 위트, 스릴이나 모험까지 느끼게 하는, 좋은 작품이었던 것 같다! 신고",xhxk****,22.08.22
카터 ,2,어지러워서 보다가 포기함 신고,yong****,22.08.22
탑건: 매버릭 ,8,마지막 20분!!! 신고,msco****,22.08.22
인민을 위해 복무하라 ,1,뭐하러 이런 쓰래기를 찍은 건지 모르겠네요여자가 국어책 읽으니 남자의 억양이 너무 어색하게 느껴지고 긴장감이 다 사라져 버림 신고,usoo****,22.08.22
헤어질 결심 ,10,신고,ssa0****,22.08.22
루퍼 ,10,"개봉 당시 극장에서 보고 2022년 현재에도 보는데 정말 명작이다. 개차반으로 인생을 살 예정이던 주인공, 하지만 또한 젊기 때문에 자신을 희생할 수 있는게 아닌가. 신고",msm0****,22.08.22
장난스런 키스 ,10,진짜 개잘생겼다 진짜 ost도 좋고 진짜 학교에서 보여줬는데 울엇다고 존잘존잘 개설레 신고,love****,22.08.22
놉 ,10,정말 조던필 감독스러운 작품이였어요 재밌어요 신고,qjwj****,22.08.22
헌트 ,2,화면 겁나 흔들어서 너무 어지러움 보기 힘들정도임 신고,voli****,22.08.22
강릉 ,6,그냥 칼로 쑤시는 것만 나오네 신고,eter****,22.08.22
플레이스 비욘드 더 파인즈 ,10,"음악과 영상이 묘하게 여운이 있어요 어느 한군데 힘을 주지도 않았는데 연기, 대사, 스토리 다.. 애잔하고 루크가 오토바이로 달리던 길을 나중에 아들이 자전거를 타고 달리는 장면도 너무 좋았어요 태어남부터 꼬였던 그런 사람들의 이야기랄까요 브래들리쿠퍼 역의 판사수저? 아빠를 두었다는 설정부터가 대조적이고 연기도 넘 좋았고 라이언고슬링의 루크는 그가 범죄자임에도 이해해보고 싶게끔 유도하는 눈빛이었어요 신고",gusw****,22.08.22
헤어질 결심 ,4,"진짜이영화의평점이맞는거야,? 내용두뒤죽박죽 진짜재미없다..이걸뭐가재밌다그들하는건지 알수가읍네~~~ 신고",sys7****,22.08.22
놉 ,1,개아쉽다 영화스토리 ㄹㅇ 신고,cjj1****,22.08.22
한산: 용의 출현 ,4,"배역이 바뀌어 명량 만큼 흥행을 못한 것 같다.전작에 출연했던 배우들이 한산에도 나왔더라면, 천만명은 넘었을텐데...최민식, 이정현, 진구 등 신고",levi****,22.08.22
놉 ,3,생각보다 심각합니다. 초반에는 아무 의미없는 내용으로 참 지루하네요.. 신고,kkin****,22.08.22
담보 ,10,코로나로 흥행못한 영화 신고,kjh2****,22.08.22
놉 ,6,이걸 어디부터 이해해야 하는지.. 도무지 모르겠네요. 신고,cjso****,22.08.22
탑건: 매버릭 ,10,솔직히 스토리는 뻔하다. 근데 영상미와 빠른 기승전결 액션 뻔한데 너무 재밌어서 2D보고 4D봄. 또 보고싶다. 신고,qlrv****,22.08.22
헌트 ,7,"액션과 음악은 좋았지만,, 어째서 난 한국인인데 한국말을 못알아 듣는건가?... 신고",dusa****,22.08.22
스파이더맨: 노 웨이 홈 ,8,내용은 별로지만 재미는있음 신고,wnsr****,22.08.22
헤어질 결심 ,10,여운이 깊게 남는 영화.. 대사 놓치기 싫어서 여러번 봤어요 신고,kktt****,22.08.22
헌트 ,10,신고,gwon****,22.08.22
헌트 ,2,소문난 잔치 먹을게 없다 비상선언 헌트.배우들 지겹다 몇OO을 나오냐. 이정재 정우성 황정민 주지훈 기타 까메오들. 신고,mnbv****,22.08.22
미쓰 와이프 ,10,꼭 보세요~ 강추합니다ㅎㅎㅎ 신고,cima****,22.08.22
차이나타운 ,1,이게 말이야 방구야... 신고,jeff****,22.08.22
썸머 필름을 타고! ,8,맨발(과 친구들)의 푸르른 청춘 신고,kumo****,22.08.22
극장판 주술회전 0 ,10,진짜 너무 너무 재밌다. 신고,syp1****,22.08.22
타짜: 원 아이드 잭 ,8,헐 박정민 OO시하네 대박 신고,miso****,22.08.22
RRR: 라이즈 로어 리볼트 ,10,내가 발리우드에 빠질줄이야 넘잼있음 신고,angp****,22.08.22
짬뽕비권 ,10,제목부터 좋다 중화반점 노래 듣고싶네 신고,djsr****,22.08.22
헌트 ,10,진짜 역시 이정재 정우성 입니다ㅠㅠ 개존잼 신고,youn****,22.08.22
한산: 용의 출현 ,10,사실 명량보구 실망해서 안보려다 봤는데한산은 넘 잼있게 봤어요.가슴에 웅장함이 느껴졌어요~~~ 신고,shj9****,22.08.22
헌트 ,8,"사냥꾼이 될 것인가, 사냥감이 될 것인가, 아니면 쓰다 버려질 사냥개가 될 것인가? 하지만 그들은 개가 아니다. 그저 평화롭고 싶은 한 명의 인간일 뿐 신고",pyo7****,22.08.22
더 큐어 ,8,1점 주려다 마지막년 찌찌나와서 8점 준다 개OO새끼들아 ㅋ 신고,jij8****,22.08.22
탑건: 매버릭 ,10,진짜 개재밌다 진짜 미치겠다 신고,jang****,22.08.22
놉 ,10,오랜만에 현실적인 sf본듯 신고,yout****,22.08.22
한산: 용의 출현 ,10,출정하라!!!!초딩 울 아들 마지막에 눈물 흘리고여운에서 벗어나질 못하네요 만점 주라고 ㅎㅎ 신고,dan0****,22.08.22
탑건: 매버릭 ,10,내가 아는 피트 미첼 그대로 신고,duel****,22.08.22
한산: 용의 출현 ,10,영화보면서 소름돋은건 처음이다. 이 영화는 천만안되나ㅠㅠ 역시 이순신장군은 대단했다. 노량 기다릴게요 신고,s655****,22.08.22
놉 ,7,영화가 볼만하지만 호불호 갈릴만함. 신고,luck****,22.08.22
헌트 ,10,"뻔한 신파나 주입식 정의로움에 질리지 않을까 염려하며 봤는데, 왠걸..만듦세가 상당히 뛰어남. 극장에서 봤는데 집에서 한번 더 볼 생각임. 기대를 뛰어넘는 수작이었음. 신고",word****,22.08.22
물괴 ,4,해리 첫대사듣고 싸해서 끄고싶었지만 그냥 봤습니다. 시간이 넘 남아돌았거든요 ㅋㅋ 신고,ddhh****,22.08.22
카터 ,10,한마디로 스피디한 액션이 끊임없이 나와서 좋았어요. 스토리성을 생각하면 보지않는게 신고,jeug****,22.08.22
한산: 용의 출현 ,10,신고,cofl****,22.08.22
헌트 ,8,"스케일이 큰 영화같은 느낌이 들었어요. 이정재 첫작품치고는 우수하다고 생각하지만, 영화가 너무 많은 내용을 담으려 하는 바람에 스토리의 맥락이 약하고, 개연성이 부족해 감동이 약하고 저는 개인적으로 지루했어요. 그래도 정성을 들인 티가 나서 잘 보고 갑니다. 신고",sada****,22.08.22
어나더 레코드 : 이제훈 ,10,앞으로의 이제훈을 더 기대하게 만드는 영화 신고,mina****,22.08.22
한산: 용의 출현 ,10,그냥 이순신 장군님이 우리나라의 위인이라는것 에 감사만 그냥 500번 머리박겠습니다..ㅠ 신고,dbfl****,22.08.22
헌트 ,6,대사가 잘 안들림.... 후시 녹음을 안해서 그런가 뭐라 그러는지 모르겠음.... 뜬금없는 반전과 이해안가는 스토리. 외국 배우 발연기로 몰입도 깨짐. 정우성이정재 캐미는 좋음 신고,yewo****,22.08.22
헤어질 결심 ,10,시간 가는 줄 몰랐다. 오랜만에 감성 있는 로맨스를 봤습니다. 감사합니다. 신고,phj1****,22.08.22
RRR: 라이즈 로어 리볼트 ,10,제법 긴 러닝타임인데 시간 가는줄 모르고 봤네 신고,yd06****,22.08.22
비상선언 ,8,참신한 소재여서 재미있었어요...!! 연기 구멍도 없고 처음부터 끝까지 긴장감을 놓지 못해서 재미있었습니다. 재난영화 안 좋아하는데 이건 재밌었어요!! 신고,tngu****,22.08.22
탑건: 매버릭 ,10,대박임 개간지 ㅠㅠ꼭 봐야됨 신고,prs3****,22.08.22
헌트 ,4,이게 재미있다고? 정말? 신고,hkju****,22.08.22
놉 ,2,노잼 겟아웃이 훠어어얼씬 재밌음 신고,jord****,22.08.22
비상선언 ,8,솔직하 평점이 6점대라는게 믿기지 않을정도로 나름 재밌게봤음영화표값이 절대 아깝지는 않은 영화톱급 배우들이 많이 나오는 만큼 다들 연기력은 정말 최고만약 비상선언 보려했는데 평점이 낮아 고민중이라면 보는걸 추천내용도 이해하기 쉬워서 킬링타임용으로 딱임 신고,jihw****,22.08.22
당신은 믿지 않겠지만 ,8,한국에서찍은일본영화.딱일본영화같네요. 울고웃었음.쓰레기오다기리ㅋㅋㅋ재밌게봤어요 신고,kyhe****,22.08.22
탑건: 매버릭 ,10,방금 cgv에서 4dx 관람후 화장실에서 적고있는데 정말 미쳤다라는 표현이 맞는것같다 영상도 깔끔하고 일단 전투기 소리는 리얼하다 보실 분들은 꼭 4DX로 보길 바란다 진짜 지린다 지려 신고,wjdx****,22.08.22
인생은 아름다워 ,10,그냥 눈물이 줄줄…꼭.. 보세요 신고,59lo****,22.08.22
한산: 용의 출현 ,10,기대 일도 안하고 봤어요 개잼 진심 웅장하고좋아요! 애국심 들끓었다 간만에ㅋㅋ 신고,db22****,22.08.22
데이 시프트 ,7,소재는 신선하나 그외는 설익은 영화 평점 6.8 신고,orti****,22.08.22
놉 ,7,원래 한산을 예약할려고 했는데 실수로 예약해서 본 영화임....다행히 와이프하고 얘들이 재밌다고 해서 다행이나 감독이 뭘 얘기하고 싶은지 이해가 안감.... 신고,gnce****,22.08.22
카터 ,1,최악. 300억 아깝당. 잔인하고 재미없고 못보겠당. 신고,hjeo****,22.08.22
탑건: 매버릭 ,10,그냥 봐라 명작이다 꼭 봐라 아니 2번 봐라 신고,jake****,22.08.22
"나니아 연대기 - 사자, 마녀 그리고 옷장 ",10,남자평점 6점대 말이되냐 ... 영화의 깊이를 이해하지못하네 .. 안타깝다 신고,cosl****,22.08.22
판의 미로 - 오필리아와 세 개의 열쇠 ,10,잔혹하면서도 아름다운 성인들을 위한 동화같은 영화 신고,2mal****,22.08.22
놉 ,8,이 영화를 보고나니 오랜만에 하늘을 올려다보는 계기가 되었네요...영화가 무슨 이야기를 하는진 모르겠지만 아무생각없이 보기 좋은 영화 였습니다. 동필이형 초심잡자! 신고,amaz****,22.08.22
비상선언 ,9,나름 잼~인데평점많이 낮네요 신고,amis****,22.08.22
미니언즈2 ,10,보면 기분 좋아지는 영화 진짜 너무 귀여워! 미니언즈 사랑해!! 신고,hees****,22.08.22
싱크홀 ,1,감동도 없고 재미도 없음개연성이라곤 쥐뿔도 없음그냥 다 없음 신고,59lo****,22.08.22
탑건: 매버릭 ,10,영화 처음 시작하고 10분동안의 장면은 평생 잊을수 없을거같다 신고,won4****,22.08.22
한산: 용의 출현 ,10,명량을 극장에서 못 보고 집에서 보고 지루했던 기억이 있어서 한산은 꼭 극장에서 봐야지 했는데 완전 잘 만든 영화에요 박해일이 이순신 했는데 역에 찰떡이고 변요한도 왜놈 연기 일품이었습니다아이들과 같이 보며 역사 공부도 했어요 신고,curi****,22.08.22
비상선언 ,10,신고,b800****,22.08.22
비상선언 ,10,신고,b800****,22.08.22
탑건: 매버릭 ,10,톰캣 보고 지렸습니다. 신고,viar****,22.08.22
헌트 ,1,반개도 아깝다. 정우성영화는 레알 믿고 거를수밖에 ㅜㅜ 신고,ufob****,22.08.22
나이트메어 앨리 ,9,어쩌면 우리의 모습일지도...? ㄷㄷㄷ 신고,arid****,22.08.22
카터 ,2,"난잡하고 어지러우며, 주원의 흑역사를 남겼다. 신고",star****,22.08.22
"다만, 널 사랑하고 있어 ",10,노다메 남주 때문에 어릴 적 봤었는데 좋았던 기억. 신고,kore****,22.08.22
카터 ,2,아 진짜 재미없다고 잘 안하는데 액션신도 많은데 겁나 지루함 .. 진심 신고,tlst****,22.08.22
영주 ,10,"처음엔 남동생때문에 마냥 암걸리는 내용인가 싶었는데, 묵직할 줄이야... 신고",kore****,22.08.22
비상선언 ,10,몰입도 있고 재미있었는데 뭐가 별로라는지 모르겠음 신고,gmls****,22.08.22
헌트 ,10,액션도 좋았고 음악도좋고 연기도 되게 좋았어요! 신고,yoon****,22.08.22
인필트레이션: 세이브 호스티지 ,10,봐야만하는 영화입니다.. 10잠을.. 신고,cs27****,22.08.22
외계+인 1부 ,8,분명 재밌게 보고 있는데도 영화가 길다고 느껴진 게 너무 신기함. 신고,ygkd****,22.08.22
오복성 ,8,네이버에서 다운받았는데 왜 투명인간씬이 잘렸지? 신고,dark****,22.08.22
외계+인 1부 ,6,스토리가 방대한데 너무 난잡하게 풀어놨어요 새로운 시도인건 인정 신고,rba6****,22.08.22
헌트 ,10,이정재씨 영화 계속 만들어주세요 신고,dktj****,22.08.22
명탐정 코난: 할로윈의 신부 ,10,음악이 나올 때 눈물도 함께 나왔습니다 신고,ghk2****,22.08.22
헌트 ,6,신세계 뿌락지 내용 + 아수라 멤버 신고,anan****,22.08.22
가타카 ,10,인생띵작일년에 한번은보는 영화유전자는 나에 미래를 얼마나알고있고난 그걸 뛰어넘을수있을까?? 신고,hush****,22.08.22
백두산 ,6,배우진을 보는 재미가 있는 킬링타임용 영화. 스토리의 전개에서 개연성이나 디테일이 조금 아쉬웠다 신고,sjh6****,22.08.22
보일링 포인트 ,9,식당에서 일한 적도 없는데 일하고 온 기분 신고,ygkd****,22.08.22
"굿 럭 투 유, 리오 그랜드 ",10,"낯선 호텔, 모든 게 자신 없는 낸시 앞에 젊고 매력적인 리오 그랜드가 나타나고, 처음 경험하는 퍼스널 서비스는 예상치 못한 해방감을 선사한다. 신고",junm****,22.08.22
프레이 ,7,나름 재밌게 봤던ㅋㅋㅋ킬링타임 꿀~ 신고,jscc****,22.08.22
놉 ,8,뒤집어보고 뒤로 가며 채워넣은 은유와 풍자 신고,ohsu****,22.08.22
포스 카인드 ,3,그냥 그럼 전반적으로 지루한데 중간중간 흥미로움.중간중간 인터뷰 하는 여자는 갖다 치워버리고 싶음. 생긴것도 무너져내렸는데 말투도 너무 징징대서 진짜 역할정도로 보기싫음 다시보면 토할거같음 신고,prjs****,22.08.22
놉 ,10,조동필 감독의 영화 중 최고 신고,xxis****,22.08.22
비상선언 ,8,앞에1시간만 재미있다더니 2시간까지도 집중하고봤어요 지루하진 않았고 스토리전개상 착륙부분에 말이안된다고 지적하는 평 도있는데 모든영화가 개연성이있는건 아니니 그러려니하면 자연스럽게 넘어갈수있네요 신파지적하는 것도 크게 납득은 안되네요 코로나로 접종 미접종 나눠 해고하고 시설이용못하게 하던때를 생각하면 신파스럽지도 억지스럽지도 않았어요 신고,alsw****,22.08.22
탑건: 매버릭 ,10,생각보다 개재미있고 ost 개좋다 안봤으면 후회할뻔 신고,kimj****,22.08.22
마녀(魔女) Part2. The Other One ,2,어후.. 정말 너무하네요 감독 신고,yong****,22.08.22
놉 ,10,아구아 돌체의 한 말 목장에서 벌어지는 일련의 미스터리한 사건을 담은 영화...~~!! 신고,junm****,22.08.22
한산: 용의 출현 ,4,물 한방울 없는 곳에서 찍은 장면이라고 믿기지않는다. 그런데 스토리구성이 클래식하지도 그렇다고 특별한 반전요소를 가지고 있지도 않다.. 신고,aike****,22.08.22
놉 ,10,신고,mjs1****,22.08.22
스파이더맨: 노 웨이 홈 ,10,신고,abcd****,22.08.22
한산: 용의 출현 ,10,거북선이 아주 소름돋았습니다.안성기배우도 역시 신고,pmy6****,22.08.22
헌트 ,10,재미잇어요오오오오옹 신고,namt****,22.08.22
끝까지 간다 ,10,평점 잘 안남기는데 포스터 보고 안보고있다주펄맨이 재밌다고 해서 봤는데 인생여화네요꼭 보세요 ㅋㅋ 신고,elde****,22.08.22
카터 ,2,"빠른 스토리 전개는 괜찮으나 너무 많이 표시나는 cg액션들, 주원은 터미네이터였던가...많이 아쉬웠던 작품임. 신고",haja****,22.08.22
놉 ,6,전작들을 기대하고 보지 마세요 신고,minj****,22.08.22
인민을 위해 복무하라 ,10,"내용 반이상이 섹스신이지만,나에겐 매력적이 었다. 여배우 국어책 같다고 하는데 , 나는 괜찮았다. 15년뒤의 무광 수련이 만나지 못한장면이 너무 안타까웠다.무광을 위해 , 모든걸 지원해준 수련의 마음과 사랑이 진심으로 느껴져서 더욱더 안타까웠음. 그런 수련의 사랑과 마음을 잊지 못하는 무광도 속으로 안타까웠을것. 이 영화를 보실 분들에게 강력 추천 합니다. 신고",buh8****,22.08.22
헤어질 결심 ,10,"감동이라는 것은 감정의 움직임이라는 것. 불륜이 소재여서 내 마음이 불편했다면 그 것은 그 것 나름대로의 감동이고, 적절치 못한 사랑이 소재여서 내 마음이 오묘했다면 그 것은 그 것 나름대로의 감동이다. 이 영화는 감동을 주었다. 신고",ebzm****,22.08.22
비상선언 ,10,연기 넘좋았어요 굿~~~ 신고,bhan****,22.08.22
나의 독재자 ,8,우리내 아버지들이 자기가 아닌 자식을 아니 나라를 위해 맡은 역할에 최선을 다하고 사는 모습 같았다~감동적이네요~ 신고,s740****,22.08.22
놉 ,10,신선하고 스릴있어서 몰입하며 봤습니다.개인적으로 10점 만점 주고 싶은 영화 신고,kuj6****,22.08.22
한산: 용의 출현 ,10,해산전투 스릴있고 역쉬 대장말 잘들어야 하는거라는거 다시한번더 느끼고 다짐. 대장을 잘 만나야 하는ㄱ 신고,rjs3****,22.08.22
비상선언 ,10,재미있게 잘 보았습니다~ 신고,nami****,22.08.22
황혼의 사무라이 ,10,엔딩까지 마지막 자막 올라갈때 다봤다.. 신고,pdh0****,22.08.22
헌트 ,6,서사를 풀어내는 방식이 진부하지 않고 깔끔했다 신고,ksor****,22.08.22
한산: 용의 출현 ,10,천만영화각!명량보다 더 진중해졌지만 왠지 더 재밌다.더 감동적.눈을 뗄 수 없는 몰입감 긴장감 최고!다음 노량도 기대하게 되는 이한산대첩! 신고,saew****,22.08.22
헌트 ,2,그냥 좌파영화 정우성영화는 이제 안볼듯하네.. 신고,shgu****,22.08.22
이별의 아침에 약속의 꽃을 장식하자 ,9,보면서 많은 생각이 드는 영화였습니다.전개는 조금 빠른 감이 있지만 스토리도 나쁘지 않고 연출도 좋았습니다.마지막에 울었네요 ?_? 신고,seoy****,22.08.22
헌트 ,10,그냥 다 필요없고 얼굴이 다 했다. 눈 호강했네 신고,limm****,22.08.22
